"id";"station_name";"longitude";"latitude";"address";"suburb";"postcode";"if_charger_working";"usb_a";"usb_c";"micro_usb";"plug_only";"establishment_type";"if_wifi";"if_bathroom";"access_type";"other_amenities";"star_rating";"mon_open";"mon_close";"tue_open";"tue_close";"wed_open";"wed_close";"thu_open";"thu_close";"fri_open";"fri_close";"sat_open";"sat_close";"sun_open";"sun_close";"if_24h";"created_at";"updated_at"
"1";"Northern Pavilion";"144.9615287";"-37.78492357";"360 Royal Parade Carlton North 3052";"Carlton North";"3052";"1";"0";"1";"1";"0";"Community Space";"2";"2";"All entrances have steps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"2";"Sydenham";"144.9518592";"-37.79640917";"10 Gatehouse Street Parkville 3052";"Parkville";"3052";"1";"0";"0";"1";"0";"Housing Support Services";"2";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"3";"Common Ground Supportive Housing";"144.9584961";"-37.80279081";"660-674 Elizabeth Street Carlton 3000";"Carlton";"3000";"1";"0";"1";"0";"0";"Housing Support Services";"2";"1";"Main entrance is step free or with ramps";NULL;"5";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;"2020-06-04 15:55:33"
"4";"State Library of Victoria";"144.9653042";"-37.80976764";"304-328 Swanston Street Melbourne City 3000";"Melbourne City";"3000";"1";"1";"1";"0";"0";"Library";"1";"1";"Entrance(s) have limited access via a small lip or a steep ramp, but alternative access available";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"5";"6th Melbourne Scout Hall";"144.9280577";"-37.79191849";"55 McCracken Street Kensington 3031";"Kensington";"3031";"1";"0";"1";"1";"0";"Community Space";"2";"2";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"6";"Flemington Oval Pavilion";"144.9580062";"-37.79153617";"54 Flemington Road Parkville 3052";"Parkville";"3052";"1";"1";"0";"1";"0";"Community Space";"2";"2";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"7";"Grace Cuming Lodge";"144.951991";"-37.79630499";"14-18 Gatehouse Street North Melbourne 3051";"North Melbourne";"3051";"1";"1";"1";"0";"0";"Housing Support Services";"2";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"8";"Ebsworth House";"144.956768";"-37.8169637";"538-542 Little Collins Street Melbourne City 3000";"Melbourne City";"3000";"1";"1";"1";"0";"1";"Housing Support Services";"2";"1";"Not determined";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"9";"Gordon Reserve";"144.9740666";"-37.81233837";"74-108 Spring Street East Melbourne 3002";"East Melbourne";"3002";"1";"1";"0";"0";"0";"Community Space";"2";"2";"Not determined";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"10";"Kensington Community Centre";"144.9236556";"-37.79767091";"111 Altona Street Kensington 3031";"Kensington";"3031";"1";"0";"0";"0";"0";"Community Centre";"2";"2";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
